Date : 2026-03-30 00:59:19
Directory : c:\Users\BG420\coffee-platform
Total : 265 files,  26861 codes, 7873 comments, 9461 blanks, all 44195 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\BG420\coffee-platform\src\AI\market\CommodityPriceEngine.ts                                        | TypeScript         |         50 |         27 |         45 |        122 |
| c:\Users\BG420\coffee-platform\src\AI\orchestration\runAISystem.ts                                          | TypeScript         |        312 |        151 |        180 |        643 |
| c:\Users\BG420\coffee-platform\src\AI\risk\CapitalAllocationEngine.ts                                       | TypeScript         |         15 |         23 |         16 |         54 |
| c:\Users\BG420\coffee-platform\src\AI\risk\PortfolioExposureEngine.ts                                       | TypeScript         |         26 |         17 |         19 |         62 |
| c:\Users\BG420\coffee-platform\src\AI\risk\PortfolioRebalancer.ts                                           | TypeScript         |         36 |         17 |         23 |         76 |
| c:\Users\BG420\coffee-platform\src\AI\sensing\DemandIntelligence.ts                                         | TypeScript         |         26 |         42 |         23 |         91 |
| c:\Users\BG420\coffee-platform\src\AI\sensing\SupplyRiskIntelligence.ts                                     | TypeScript         |         28 |         46 |         23 |         97 |
| c:\Users\BG420\coffee-platform\src\AI\sensing\WeatherIntelligence.ts                                        | TypeScript         |         30 |         42 |         23 |         95 |
| c:\Users\BG420\coffee-platform\src\AI\simulation\GlobalScenarioEngine.ts                                    | TypeScript         |         33 |         25 |         39 |         97 |
| c:\Users\BG420\coffee-platform\src\AI\simulation\SupplyChainStressSimulator.ts                              | TypeScript         |         57 |         12 |         50 |        119 |
| c:\Users\BG420\coffee-platform\src\brain\cascadeDetector.ts                                                 | TypeScript         |         27 |         12 |         13 |         52 |
| c:\Users\BG420\coffee-platform\src\brain\cognitiveMemory.ts                                                 | TypeScript         |         72 |         36 |         50 |        158 |
| c:\Users\BG420\coffee-platform\src\brain\phaseTransitionDetector.ts                                         | TypeScript         |         19 |         16 |          8 |         43 |
| c:\Users\BG420\coffee-platform\src\brain\regimeLearning.ts                                                  | TypeScript         |         26 |          5 |         15 |         46 |
| c:\Users\BG420\coffee-platform\src\brain\systemBrain.ts                                                     | TypeScript         |         78 |         30 |         41 |        149 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientFactory.ts                            | TypeScript         |          8 |          0 |          4 |         12 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientProfiles.ts                           | TypeScript         |         36 |          0 |         14 |         50 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientRequestGenerator.ts                   | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientSession.ts                            | TypeScript         |         25 |          9 |         15 |         49 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientTypes.ts                              | TypeScript         |         20 |          0 |         13 |         33 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureController.ts                   | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureService.ts                      | TypeScript         |         26 |         24 |         24 |         74 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureTokens.ts                       | TypeScript         |         46 |          0 |         32 |         78 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureTypes.ts                        | TypeScript         |         12 |          0 |          7 |         19 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\activateContract.ts                                    | TypeScript         |         22 |          9 |         17 |         48 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractController.ts                                  | TypeScript         |         39 |          9 |         38 |         86 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractIntelligence.ts                                | TypeScript         |         14 |          1 |          6 |         21 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractLedger.ts                                      | TypeScript         |         44 |         13 |         41 |         98 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractPDFGenerator.tsx                               | TypeScript JSX     |        168 |         33 |         88 |        289 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractPricing.ts                                     | TypeScript         |         35 |         18 |         19 |         72 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractProposal.ts                                    | TypeScript         |         11 |          0 |         10 |         21 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractRegistry.ts                                    | TypeScript         |         24 |         15 |         23 |         62 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractScheduler.ts                                   | TypeScript         |         29 |         42 |         28 |         99 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractStore.ts                                       | TypeScript         |         60 |         26 |         51 |        137 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractTypes.ts                                       | TypeScript         |         15 |          6 |         13 |         34 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotAuctionEngine.ts                           | TypeScript         |         60 |         22 |         52 |        134 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotDispatcher.ts                              | TypeScript         |         18 |         14 |         15 |         47 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotMarketEngine.ts                            | TypeScript         |         63 |         25 |         52 |        140 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotMarketLearning.ts                          | TypeScript         |         66 |         31 |         53 |        150 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotOfferEngine.ts                             | TypeScript         |         51 |         23 |         44 |        118 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotPortfolioEngine.ts                         | TypeScript         |         81 |         28 |         62 |        171 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotPricingEngine.ts                           | TypeScript         |         94 |         30 |         57 |        181 |
| c:\Users\BG420\coffee-platform\src\clientLayer\scoring\clientReputationDrift.ts                             | TypeScript         |         36 |         26 |         34 |         96 |
| c:\Users\BG420\coffee-platform\src\clientLayer\scoring\clientScoreEngine.ts                                 | TypeScript         |         66 |         64 |         46 |        176 |
| c:\Users\BG420\coffee-platform\src\clientLayer\scoring\clientTrustEngine.ts                                 | TypeScript         |         53 |         21 |         46 |        120 |
| c:\Users\BG420\coffee-platform\src\clientLayer\scoring\microLotAllocator.ts                                 | TypeScript         |         15 |          7 |         13 |         35 |
| c:\Users\BG420\coffee-platform\src\components\lab\AIControlPanel.tsx                                        | TypeScript JSX     |         49 |          2 |         19 |         70 |
| c:\Users\BG420\coffee-platform\src\components\lab\CommodityMarketPanel.tsx                                  | TypeScript JSX     |         61 |          0 |         24 |         85 |
| c:\Users\BG420\coffee-platform\src\components\lab\EngineCalibrationPanel.tsx                                | TypeScript JSX     |         76 |          0 |         21 |         97 |
| c:\Users\BG420\coffee-platform\src\components\lab\EngineResearchPanel.tsx                                   | TypeScript JSX     |        219 |          5 |         33 |        257 |
| c:\Users\BG420\coffee-platform\src\components\lab\LeftPanel.tsx                                             | TypeScript JSX     |        236 |         25 |         79 |        340 |
| c:\Users\BG420\coffee-platform\src\components\lab\RightLabPanel.tsx                                         | TypeScript JSX     |        139 |          3 |         49 |        191 |
| c:\Users\BG420\coffee-platform\src\components\lab\StrategyLeaderboardPanel.tsx                              | TypeScript JSX     |         61 |          6 |         21 |         88 |
| c:\Users\BG420\coffee-platform\src\components\platform\ClientContractsPanel.tsx                             | TypeScript JSX     |        223 |         32 |         63 |        318 |
| c:\Users\BG420\coffee-platform\src\components\platform\ClientOverviewPanel.tsx                              | TypeScript JSX     |        291 |         58 |        123 |        472 |
| c:\Users\BG420\coffee-platform\src\components\platform\ClientTradingPanel.tsx                               | TypeScript JSX     |        343 |         76 |        140 |        559 |
| c:\Users\BG420\coffee-platform\src\components\platform\ContractTimelineModal.tsx                            | TypeScript JSX     |        100 |          0 |         30 |        130 |
| c:\Users\BG420\coffee-platform\src\components\platform\Dashboard.tsx                                        | TypeScript JSX     |        607 |        111 |        283 |      1,001 |
| c:\Users\BG420\coffee-platform\src\components\platform\OnboardingWizard.tsx                                 | TypeScript JSX     |        155 |         17 |         37 |        209 |
| c:\Users\BG420\coffee-platform\src\components\platform\PlatformHeader.tsx                                   | TypeScript JSX     |        209 |         10 |         18 |        237 |
| c:\Users\BG420\coffee-platform\src\components\platform\ProducerDashboard.tsx                                | TypeScript JSX     |         86 |          5 |         30 |        121 |
| c:\Users\BG420\coffee-platform\src\components\shared\CapacityBar.tsx                                        | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\components\shared\SignalIndicator.tsx                                    | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\database\contractRepository.ts                                           | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\database\prisma.ts                                                       | TypeScript         |         23 |         16 |         11 |         50 |
| c:\Users\BG420\coffee-platform\src\decision\anticipatoryShortage.ts                                         | TypeScript         |         19 |          4 |          8 |         31 |
| c:\Users\BG420\coffee-platform\src\decision\capacityFrontier.ts                                             | TypeScript         |         34 |          3 |         12 |         49 |
| c:\Users\BG420\coffee-platform\src\decision\clientScoring.ts                                                | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\decision\computeSupplySecurityIndex.ts                                   | TypeScript         |         22 |          9 |         10 |         41 |
| c:\Users\BG420\coffee-platform\src\decision\decisionBridge.ts                                               | TypeScript         |         23 |          5 |         13 |         41 |
| c:\Users\BG420\coffee-platform\src\decision\decisionMemory.ts                                               | TypeScript         |         20 |          5 |         14 |         39 |
| c:\Users\BG420\coffee-platform\src\decision\decisionMomentum.ts                                             | TypeScript         |         13 |          4 |          5 |         22 |
| c:\Users\BG420\coffee-platform\src\decision\decisionPipeline.ts                                             | TypeScript         |        458 |        171 |        297 |        926 |
| c:\Users\BG420\coffee-platform\src\decision\liveDecision.ts                                                 | TypeScript         |        284 |        129 |        157 |        570 |
| c:\Users\BG420\coffee-platform\src\decision\marketFeedback.ts                                               | TypeScript         |         25 |         13 |         19 |         57 |
| c:\Users\BG420\coffee-platform\src\decision\pendingRequests.ts                                              | TypeScript         |         45 |         17 |         23 |         85 |
| c:\Users\BG420\coffee-platform\src\decision\regionalImbalance.ts                                            | TypeScript         |         20 |          4 |         12 |         36 |
| c:\Users\BG420\coffee-platform\src\decision\regionalRiskDiagnostics.ts                                      | TypeScript         |         32 |         13 |         21 |         66 |
| c:\Users\BG420\coffee-platform\src\decision\replenishmentForecast.ts                                        | TypeScript         |         34 |         13 |         23 |         70 |
| c:\Users\BG420\coffee-platform\src\decision\riskModel.ts                                                    | TypeScript         |         24 |         25 |         13 |         62 |
| c:\Users\BG420\coffee-platform\src\decision\semaphoreEvaluator.ts                                           | TypeScript         |        103 |         28 |         63 |        194 |
| c:\Users\BG420\coffee-platform\src\decision\semaphoreLogic.ts                                               | TypeScript         |         29 |         12 |         16 |         57 |
| c:\Users\BG420\coffee-platform\src\decision\supplyCascadeRisk.ts                                            | TypeScript         |         17 |          4 |         10 |         31 |
| c:\Users\BG420\coffee-platform\src\decision\supplyPlanner.ts                                                | TypeScript         |         38 |         16 |         26 |         80 |
| c:\Users\BG420\coffee-platform\src\decision\volumeSuggestion.ts                                             | TypeScript         |         41 |          4 |         13 |         58 |
| c:\Users\BG420\coffee-platform\src\engine\core\adaptiveStress.ts                                            | TypeScript         |         27 |         10 |         10 |         47 |
| c:\Users\BG420\coffee-platform\src\engine\core\engineOperational.ts                                         | TypeScript         |         77 |         41 |         60 |        178 |
| c:\Users\BG420\coffee-platform\src\engine\core\modelPhysics.ts                                              | TypeScript         |         78 |         67 |         43 |        188 |
| c:\Users\BG420\coffee-platform\src\engine\core\runtime.ts                                                   | TypeScript         |        829 |        510 |        505 |      1,844 |
| c:\Users\BG420\coffee-platform\src\engine\core\simulationReal.ts                                            | TypeScript         |        764 |        319 |        340 |      1,423 |
| c:\Users\BG420\coffee-platform\src\engine\core\useEngineBridge.ts                                           | TypeScript         |         89 |          6 |         20 |        115 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\client\calculatePricing.ts                                | TypeScript         |         91 |         69 |         51 |        211 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\client\pricingTable.ts                                    | TypeScript         |         37 |          3 |          2 |         42 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\costs\calculateCosts.ts                                   | TypeScript         |         49 |         18 |         15 |         82 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\costs\costTable.ts                                        | TypeScript         |         22 |         27 |         16 |         65 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\costs\destinationCosts.ts                                 | TypeScript         |         32 |          3 |          4 |         39 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\costs\originCosts.ts                                      | TypeScript         |         15 |          4 |          3 |         22 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\engine.ts                                       | TypeScript         |         66 |         30 |         25 |        121 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\producer\altitudeModifier.ts                    | TypeScript         |         13 |          3 |          5 |         21 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\producer\commodityModifier.ts                   | TypeScript         |         11 |          9 |          8 |         28 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\producer\countryModifier.ts                     | TypeScript         |         16 |          6 |          6 |         28 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\producer\demandModifier.ts                      | TypeScript         |          9 |          6 |          5 |         20 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\producer\index.ts                               | TypeScript         |         12 |          3 |          2 |         17 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\producer\varietyModifier.ts                     | TypeScript         |         21 |          9 |          9 |         39 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\modifiers\types.ts                                        | TypeScript         |         19 |          3 |          8 |         30 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\producer\calculatePricing.ts                              | TypeScript         |         82 |         18 |         23 |        123 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\producer\pricingTable.ts                                  | TypeScript         |         40 |          0 |          3 |         43 |
| c:\Users\BG420\coffee-platform\src\engine\pricing\roasted\applyRoastedPricing.ts                            | TypeScript         |         47 |         24 |         19 |         90 |
| c:\Users\BG420\coffee-platform\src\events\contractEventBridge.ts                                            | TypeScript         |         12 |          6 |         11 |         29 |
| c:\Users\BG420\coffee-platform\src\events\eventBus.ts                                                       | TypeScript         |          2 |          6 |          3 |         11 |
| c:\Users\BG420\coffee-platform\src\events\eventTypes.ts                                                     | TypeScript         |         10 |          7 |          6 |         23 |
| c:\Users\BG420\coffee-platform\src\hooks\useEngineRuntime.ts                                                | TypeScript         |         67 |         32 |         49 |        148 |
| c:\Users\BG420\coffee-platform\src\lib\auth.ts                                                              | TypeScript         |         49 |         18 |         21 |         88 |
| c:\Users\BG420\coffee-platform\src\lib\email.ts                                                             | TypeScript         |         31 |         30 |         15 |         76 |
| c:\Users\BG420\coffee-platform\src\lib\emailTemplates.ts                                                    | TypeScript         |         64 |          3 |          1 |         68 |
| c:\Users\BG420\coffee-platform\src\lib\getUserFromRequest.ts                                                | TypeScript         |         16 |          9 |         10 |         35 |
| c:\Users\BG420\coffee-platform\src\lib\requireAuth.ts                                                       | TypeScript         |         28 |          0 |          9 |         37 |
| c:\Users\BG420\coffee-platform\src\lib\supabase.ts                                                          | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\lib\twilio.ts                                                            | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\BG420\coffee-platform\src\market\globalMarketState.ts                                              | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\services\contracts.service.ts                                            | TypeScript         |         45 |         43 |         19 |        107 |
| c:\Users\BG420\coffee-platform\src\services\inventory.service.ts                                            | TypeScript         |         29 |          0 |          9 |         38 |
| c:\Users\BG420\coffee-platform\src\services\roasting.service.ts                                             | TypeScript         |         94 |         27 |         37 |        158 |
| c:\Users\BG420\coffee-platform\src\signals\marketSignals.ts                                                 | TypeScript         |         57 |         39 |         20 |        116 |
| c:\Users\BG420\coffee-platform\src\signals\signalFirewall.ts                                                | TypeScript         |         28 |          7 |          7 |         42 |
| c:\Users\BG420\coffee-platform\src\signals\signalRegistry.ts                                                | TypeScript         |          4 |         34 |          3 |         41 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\RunSpatialMarkets\runSpatialMarket.ts                      | TypeScript         |         66 |         47 |         39 |        152 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\commodityShockPropagation.ts                       | TypeScript         |         40 |         42 |         46 |        128 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\globalShockMemory.ts                               | TypeScript         |         78 |         56 |         82 |        216 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\shockDecayEngine.ts                                | TypeScript         |         24 |         39 |         32 |         95 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\shockPropagation.ts                                | TypeScript         |         49 |         31 |         44 |        124 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\supplyCascadeGraph.ts                              | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\export\exportOpportunityEngine.ts                          | TypeScript         |         61 |         27 |         63 |        151 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\export\exportScore.ts                                      | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\flows\commodityFlowEngine.ts                               | TypeScript         |         50 |         31 |         58 |        139 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\flows\tradeGravityModel.ts                                 | TypeScript         |         29 |         32 |         31 |         92 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\graph\commodityDependencyGraph.ts                          | TypeScript         |         57 |         48 |         30 |        135 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\graph\commodityGraph.ts                                    | TypeScript         |         45 |         26 |         55 |        126 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\logistics\logisticsNetwork.ts                              | TypeScript         |         16 |         29 |         23 |         68 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\logistics\portCongestionModel.ts                           | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\logistics\routeCostEngine.ts                               | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\pricing\priceSurface.ts                                    | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\pricing\spatialPriceEngine.ts                              | TypeScript         |         69 |         43 |         59 |        171 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\regions\regionInventoryEngine.ts                           | TypeScript         |         36 |         32 |         32 |        100 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\regions\regionRegistry.ts                                  | TypeScript         |         40 |         26 |         37 |        103 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\regions\regionTypes.ts                                     | TypeScript         |         10 |          9 |         12 |         31 |
| c:\Users\BG420\coffee-platform\src\utils\time.ts                                                            | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\utils\uuid.ts                                                            | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\websocket\startWebsocket.ts                                              | TypeScript         |          4 |          3 |          3 |         10 |
| c:\Users\BG420\coffee-platform\src\websocket\websocketClient.ts                                             | TypeScript         |         32 |         12 |         30 |         74 |
| c:\Users\BG420\coffee-platform\src\websocket\websocketGateway.ts                                            | TypeScript         |         39 |         16 |         26 |         81 |
| c:\Users\BG420\coffee-platform\src\websocket\websocketServer.ts                                             | TypeScript         |         16 |         15 |         23 |         54 |
| c:\Users\BG420\coffee-platform\tsconfig.json                                                                | JSON with Comments |         46 |          0 |          1 |         47 |
| c:\Users\BG420\coffee-platform\📄 middleware.ts                                                             | TypeScript         |         22 |          2 |         10 |         34 |
| Total                                                                                                       |                    |     26,861 |      7,873 |      9,461 |     44,195 |
+-------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
